crop_name,description,season,type,source,used in
Amaranth,A purple grain cultivated by an ancient civilization.,Fall,crop,Grown,"""Cow's Delight"" Quest"
Artichoke,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",Fall,crop,Grown,Not Used
Beet,"A sweet and earthy root vegetable. As a bonus, the leaves make a great salad.",Fall,crop,Grown,"""Mayor's Need"" Quest, The Missing Bundle"
Bok Choy,The leafy greens and fibrous stalks are healthy and delicious.,Fall,crop,Grown,Not Used
Corn,"One of the most popular grains. The sweet, fresh cobs are a summer favorite.",Fall,crop,Grown,"Fodder Bundle, Brewer's Bundle"
Cranberries,These tart red berries are a traditional winter food.,Fall,crop,Grown,Not Used
Eggplant,A rich and wholesome relative of the tomato. Delicious fried or stewed.,Fall,crop,Grown,Not Used
Fairy Rose,An old folk legend suggests that the sweet smell of this flower attracts fairies.,Fall,crop,Grown,Fair Rose Honey
Grape,A sweet cluster of fruit.,Fall,crop,Grown,Enchanter's Bundle (as Wine)
Pumpkin,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",Fall,crop,Grown,"Quality Crops Bundle, liked by Abigail"
Sunflower,A common misconception is that the flower turns so it's always facing the sun.,Fall,crop,Grown,"Dye Bundle, Field Research Bundle"
Sweet Gem Berry,It's by far the sweetest thing you've ever smelled.,Fall,crop,Rare Seed,"""The Mysterious Qi"" Quest"
Wheat,One of the most widely cultivated grains. Makes a great flour for breads and cakes.,Fall,crop,Grown,"Fodder Bundle, Brewer's Bundle, Flour"
Yam,A starchy tuber with a lot of culinary versatility.,Fall,crop,Grown,Fall Crops Bundle
Ancient Fruit,"A rare and exotic fruit with a mysterious origin, grown from Ancient Seeds.",Any,crop,Greenhouse,Not Used
Cactus Fruit,The sweet fruit of the prickly pear cactus.,Any,crop,"Greenhouse, Desert",Loved by Linus
Fiber Seeds,"Plant these to grow fiber crops, useful for crafting.",Any,seed,Crafted,Not Used
Mixed Flower Seeds,A mix of flower seeds that grow into a variety of seasonal flowers.,Any,seed,Crafted,Not Used
Mixed Seeds,A random assortment of seeds that grow into seasonal crops.,Any,seed,Drops,Not Used
Qi Fruit,"A strange fruit requested by Mr. Qi, with an unusual appearance.",Any,crop,Qi's Crop Quest,"""Qi's Crop"" Quest"
Tea Leaves,"The young leaves of a tea plant, used to make tea.",Any,crop,Tea Bush,Enchanter's Bundle
Blue Jazz,The flower grows in a sphere to invite as many butterflies as possible.,Spring,crop,Grown,Blue Jazz Honey
Carrot,"A fast-growing, colorful tuber that makes for a great snack.",Spring,crop,Ginger Island Drop,"""The Pirate's Wife"" Quest"
Cauliflower,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",Spring,crop,Grown,Spring Crops Bundle
Coffee Bean,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,Spring,crop,"Rare Drop, Grown",Not Used
Garlic,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,Spring,crop,Grown,Not Used
